HD 211173                      2460547.55960540    -18.4247    0.0070 
BD+07 4625                     2460547.55077383   -279.5155    0.5247 
BPSCS 22967-0007               2460547.87211521   -173.0984    0.5649 
HD 21989                       2460559.86453601     13.3919    0.0261 
HD 22772                       2460559.80990210     21.6671    0.0070 
SKB 5                          2460559.68990625     38.9852    0.0493 
TYC  54-642-1                  2460559.86022829    -10.6909    0.0479 
HE 0151-0341                   2460559.84753866    -28.9417    0.1985 
TYC 4790-460-1                 2460559.86894227   -212.7215    0.2648 
HD 21989                       2460559.80038574     13.2993    0.0070 
HD 18182                       2460559.82316240     23.8676    0.0070 
CD-62 1346                     2460560.65751715    124.6331    0.0615 
HD207129                       2460561.66063060     -0.3761    0.0070 
HD207129                       2460561.65757856     -7.4052    0.0070 
CD-62 1346                     2460561.66637943    130.9825    0.0555 
TYC 5215-15-1                  2460562.71365532    -15.3684    0.0208 
HD 211221                      2460562.72650413    -18.6137    0.0163 
HD 214579                      2460562.73007994      3.6026    0.0125 
TYC 5204-375-1                 2460562.66564142     -8.1755    0.0174 
HD 211173                      2460562.71772788    -17.7560    0.0197 
2MASS J22103877+0516144        2460562.72310300   -174.7619    0.0297 
HD 219899                      2460562.73828061     22.6259    0.0197 
CD-56 8291                     2460562.65765285    -50.9856    0.0469 
HD 217447                      2460562.73625247      5.3595    0.0101 
HD 214889                      2460562.73347945     24.4153    0.0165 
Source 2696956135781037312     2460562.67660569    -12.8329    0.0214 
CD-62 1346                     2460562.64493883    125.3534    0.3401 
BD+07 4625                     2460562.65319809   -283.6102    0.3596 
HD192310                       2460563.60115039    -54.2888    0.0070 
HD207129                       2460564.75063614      1.2747    0.0070 
HD207129                       2460564.74756258     -7.4103    0.0070 
TYC 4790-460-1                 2460564.90402630     89.8066    0.5911 
HD 217447                      2460564.68544270      5.3623    0.0070 
HD 21989                       2460564.85742590     16.0573    0.0070 
HD 18182                       2460564.84801713     27.2337    0.0070 
HD 214579                      2460564.67471989      3.6307    0.0070 
HD 22772                       2460564.86773007     23.6397    0.0070 
HD  6434                       2460687.58461208     23.1201    0.0239 
Source 2741042806844352256     2460687.54444636     21.1828    0.4085 
HD  5332                       2460687.56058092      3.7036    0.1447 
BD-07 3076                     2460687.72153775     -6.3047    0.0346 
BPS CS 22967-0007              2460687.57480588    170.9255    0.3092 
HD72673                        2460688.74722715     14.8532    0.0070 
V LO CMa                       2460689.79011086     15.7907    0.0139 
TYC 5996-1835-1                2460689.79741787    -30.2136    0.0631 
HD 76225                       2460689.74038924     28.1641    0.0507 
V UX Vol                       2460689.82571721     29.9588    0.0330 
HD 269246                      2460689.75374160     83.7011    0.3853 
zeta02Ret                      2460689.60149995     11.9847    0.0070 
HD 69578                       2460689.76299171     10.8527    0.0502 
HD 92545                       2460689.82590182    -16.1192    0.0205 
HD 88562                       2460689.75401029     10.9378    0.0118 
HD 39778                       2460689.81120391     47.3217    0.0173 
TYC 9209-2967-1                2460689.73313925     17.6661    0.4205 
HD 88035                       2460689.75070124     -2.8165    0.0157 
HD 91979                       2460689.81471761     19.7971    0.0112 
HD 50264                       2460689.74354965     71.2153    0.0243 
HD 45483                       2460689.81401565     18.8545    0.0159 
CD-42 2048                     2460689.77860946     41.6576    0.0169 
TYC 9209-2788-1                2460689.73007271     -1.7878    0.0420 
HD 87080                       2460689.74676543     -1.4760    0.0370 
HD 89638                       2460689.76108553     -1.6872    0.0110 
V EN Mon                       2460689.78657989     59.0729    0.1252 
HD 84759                       2460689.72783603     -5.8657    0.0104 
HE 0151-0341                   2460689.63687849    -34.7461    0.1727 
HD 89948                       2460689.82169636     23.7582    0.0167 
V AL Ant                       2460689.72735118     62.7984    0.0169 
HD 74950                       2460689.79913145      6.8108    0.0141 
HD 82221                       2460689.72463505     -7.6797    0.0171 
HD 311324                      2460689.78900397      8.2764    0.0516 
CD-55 1483                     2460689.77089424     -4.0416    0.0079 
